iter	Passed	Remaining
0	1	140
1	2	133
2	3	122
3	4	112
4	5	110
5	6	107
6	8	106
7	9	105
8	10	104
9	11	102
10	12	100
11	14	107
12	16	107
13	17	107
14	18	105
15	19	103
16	20	101
17	22	100
18	23	98
19	24	97
20	25	95
21	26	94
22	27	92
23	29	93
24	30	92
25	32	91
26	33	89
27	34	88
28	35	86
29	36	85
30	37	83
31	38	82
32	40	81
33	41	79
34	42	78
35	43	77
36	45	77
37	46	76
38	48	75
39	49	74
40	50	72
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	63
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	71	51
58	72	50
59	73	49
60	75	47
61	76	46
62	77	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	85	36
70	87	35
71	88	34
72	90	33
73	91	32
74	93	31
75	94	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	101	22
82	102	20
83	103	19
84	105	18
85	106	17
86	107	16
87	108	14
88	109	13
89	110	12
90	111	11
91	113	9
92	114	8
93	115	7
94	116	6
95	117	4
96	119	3
97	121	2
98	122	1
99	123	0
