iter	Passed	Remaining
0	85	85148
1	86	43074
2	87	29026
3	88	21974
4	89	17729
5	91	15214
6	93	13264
7	94	11719
8	95	10500
9	96	9529
10	97	8759
11	98	8083
12	99	7517
13	99	7024
14	100	6597
15	101	6221
16	101	5887
17	102	5595
18	103	5335
19	104	5096
20	104	4893
21	106	4736
22	107	4585
23	108	4418
24	109	4263
25	110	4122
26	110	3988
27	111	3862
28	111	3746
29	112	3636
30	113	3535
31	113	3439
32	114	3349
33	114	3265
34	115	3189
35	116	3118
36	117	3047
37	117	2979
38	118	2914
39	118	2853
40	119	2806
41	121	2771
42	122	2735
43	123	2686
44	124	2640
45	125	2594
46	125	2549
47	126	2506
48	127	2465
49	127	2425
50	128	2388
51	129	2352
52	129	2316
53	130	2281
54	130	2248
55	131	2215
56	132	2184
57	133	2162
58	134	2149
59	136	2143
60	137	2119
61	138	2092
62	138	2066
63	139	2042
64	140	2018
65	141	1996
66	141	1974
67	142	1951
68	143	1929
69	143	1908
70	144	1887
71	144	1866
72	145	1847
73	146	1827
74	146	1809
75	147	1793
76	148	1775
77	149	1762
78	150	1752
79	151	1736
80	151	1721
81	152	1706
82	152	1687
83	153	1673
84	154	1660
85	154	1645
86	155	1631
87	156	1617
88	156	1604
89	157	1590
90	157	1578
91	158	1565
92	159	1553
93	160	1542
94	160	1530
95	161	1519
96	161	1507
97	162	1495
98	163	1486
99	164	1478
100	165	1469
101	165	1460
102	166	1450
103	167	1440
104	167	1430
105	168	1420
106	169	1411
107	169	1402
108	170	1392
109	171	1383
110	171	1374
111	172	1366
112	173	1358
113	173	1349
114	174	1341
115	174	1332
116	175	1323
117	176	1315
118	176	1307
119	177	1299
120	178	1297
121	179	1292
122	180	1288
123	181	1281
124	181	1273
125	182	1266
126	183	1259
127	183	1252
128	184	1245
129	185	1238
130	185	1232
131	186	1225
132	186	1218
133	187	1212
134	188	1205
135	188	1199
136	189	1193
137	190	1187
138	190	1180
139	191	1175
140	192	1170
141	192	1163
142	193	1159
143	194	1156
144	195	1151
145	195	1146
146	196	1140
147	197	1135
148	197	1129
149	198	1124
150	199	1119
151	199	1113
152	200	1108
153	200	1103
154	201	1098
155	202	1093
156	202	1088
157	203	1083
158	203	1079
159	204	1074
160	205	1069
161	205	1064
162	206	1059
163	206	1054
164	207	1051
165	209	1052
166	210	1048
167	210	1044
168	211	1039
169	212	1035
170	212	1031
171	213	1027
172	214	1023
173	214	1020
174	215	1016
175	216	1012
176	216	1008
177	217	1004
178	218	1000
179	218	996
180	219	992
181	219	988
182	221	988
183	222	986
184	223	983
185	223	979
186	224	976
187	225	972
188	225	968
189	226	964
190	226	961
191	227	957
192	228	954
193	228	950
194	229	947
195	230	944
196	230	941
197	231	937
198	232	934
199	232	930
200	233	927
201	234	924
202	234	921
203	235	918
204	236	916
205	256	989
206	261	999
207	264	1007
208	266	1009
209	270	1017
210	272	1018
211	273	1017
212	275	1018
213	277	1017
214	278	1016
215	279	1014
216	280	1013
217	282	1011
218	283	1011
219	285	1011
220	286	1009
221	287	1006
222	288	1004
223	288	1001
224	289	998
225	290	995
226	291	992
227	292	989
228	293	987
229	293	984
230	294	981
231	295	978
232	296	977
233	298	975
234	298	973
235	299	970
236	300	966
237	300	963
238	301	960
239	302	956
240	302	953
241	303	950
242	304	947
243	305	945
244	305	942
245	306	939
246	307	936
247	307	932
248	308	929
249	308	926
250	309	923
251	310	920
252	311	919
253	312	917
254	313	915
255	314	912
256	315	910
257	315	908
258	317	907
259	318	905
260	318	902
261	319	899
262	319	896
263	320	893
264	321	890
265	321	887
266	322	885
267	323	882
268	323	879
269	324	877
270	325	875
271	326	873
272	327	870
273	327	868
274	328	865
275	328	862
276	329	860
277	330	857
278	330	855
279	331	852
280	332	849
281	332	847
282	333	844
283	333	841
284	334	839
285	335	836
286	335	834
287	336	831
288	337	829
289	337	826
290	338	824
291	339	822
292	340	821
293	341	820
294	342	818
295	343	816
296	343	813
297	344	811
298	345	808
299	345	806
300	346	804
301	347	802
302	347	799
303	348	797
304	349	795
305	349	793
306	350	790
307	350	788
308	351	786
309	352	783
310	352	781
311	353	779
312	353	776
313	355	775
314	356	774
315	356	772
316	357	769
317	357	767
318	358	765
319	359	763
320	359	760
321	360	758
322	360	756
323	361	754
324	362	752
325	362	750
326	363	747
327	364	745
328	364	743
329	365	741
330	365	739
331	366	737
332	367	735
333	367	733
334	368	731
335	369	730
336	370	729
337	371	727
338	372	725
339	372	723
340	373	721
341	373	719
342	374	717
343	375	715
344	375	713
345	376	711
346	377	709
347	377	707
348	378	705
349	378	703
350	379	701
351	380	700
352	380	698
353	381	696
354	382	694
355	382	692
356	383	690
357	384	689
358	385	687
359	385	685
360	386	684
361	387	682
362	388	680
363	388	678
364	389	677
365	389	675
366	390	673
367	391	671
368	391	669
369	392	667
370	393	666
371	393	664
372	394	662
373	394	661
374	395	659
375	396	657
376	396	655
377	397	653
378	397	651
379	399	651
380	400	650
381	401	649
382	401	647
383	402	645
384	403	644
385	403	642
386	404	640
387	405	639
388	405	637
389	406	635
390	407	634
391	407	632
392	408	630
393	409	629
394	409	627
395	410	625
396	410	623
397	411	622
398	412	620
399	412	619
400	413	617
401	414	616
402	415	615
403	415	613
404	416	612
405	417	610
406	417	608
407	418	607
408	419	605
409	419	603
410	420	602
411	420	600
412	421	599
413	422	597
414	422	596
415	423	594
416	424	592
417	424	591
418	425	590
419	426	588
420	426	586
421	427	585
422	427	583
423	428	582
424	430	582
425	431	581
426	432	579
427	432	578
428	433	576
429	434	575
430	434	573
431	435	572
432	436	570
433	436	569
434	437	568
435	438	566
436	438	565
437	439	563
438	439	562
439	440	560
440	441	559
441	441	557
442	442	555
443	443	555
444	444	554
445	445	553
446	446	551
447	446	550
448	447	548
449	447	547
450	448	545
451	449	544
452	449	543
453	450	541
454	451	540
455	451	539
456	452	537
457	453	536
458	453	534
459	454	533
460	455	532
461	455	530
462	456	529
463	457	528
464	458	527
465	458	525
466	459	524
467	460	523
468	460	521
469	461	520
470	462	519
471	462	517
472	463	516
473	464	515
474	464	513
475	465	512
476	465	510
477	466	509
478	467	508
479	467	506
480	468	505
481	469	504
482	469	502
483	470	501
484	471	500
485	471	498
486	472	497
487	473	496
488	474	495
489	475	494
490	475	493
491	476	491
492	476	490
493	477	489
494	478	487
495	478	486
496	479	485
497	479	483
498	480	482
499	481	481
500	481	479
501	482	478
502	483	477
503	483	475
504	484	474
505	484	473
506	485	472
507	486	470
508	486	469
509	488	468
510	489	468
511	489	466
512	490	465
513	491	464
514	491	463
515	492	461
516	492	460
517	493	459
518	494	458
519	494	456
520	495	455
521	496	454
522	496	453
523	497	451
524	497	450
525	498	449
526	499	448
527	499	446
528	500	445
529	501	444
530	501	443
531	502	442
532	503	441
533	504	440
534	505	439
535	505	438
536	506	436
537	507	435
538	507	434
539	508	433
540	509	431
541	509	430
542	510	429
543	510	428
544	511	427
545	512	425
546	512	424
547	513	423
548	514	422
549	514	421
550	515	420
551	516	418
552	516	417
553	517	416
554	518	415
555	519	414
556	520	413
557	521	412
558	521	411
559	522	410
560	522	409
561	523	408
562	524	406
563	524	405
564	525	404
565	525	403
566	526	402
567	527	400
568	527	399
569	528	398
570	528	397
571	529	396
572	530	395
573	530	393
574	531	392
575	532	392
576	534	391
577	534	390
578	535	389
579	535	388
580	536	386
581	537	385
582	537	384
583	538	383
584	539	382
585	539	381
586	540	380
587	540	379
588	541	377
589	542	376
590	542	375
591	543	374
592	544	373
593	544	372
594	545	371
595	546	370
596	547	369
597	547	368
598	548	367
599	549	366
600	550	365
601	550	364
602	551	362
603	551	361
604	552	360
605	553	359
606	553	358
607	554	357
608	554	356
609	555	355
610	556	354
611	556	352
612	557	351
613	557	350
614	558	349
615	559	348
616	559	347
617	560	346
618	561	345
619	562	344
620	563	343
621	564	342
622	564	341
623	565	340
624	566	339
625	566	338
626	567	337
627	568	336
628	569	335
629	569	334
630	570	333
631	571	332
632	571	331
633	572	330
634	573	329
635	573	328
636	574	327
637	574	326
638	575	325
639	576	324
640	577	323
641	578	322
642	578	321
643	579	320
644	579	319
645	580	318
646	581	317
647	581	315
648	582	314
649	582	313
650	583	312
651	584	311
652	584	310
653	585	309
654	585	308
655	586	307
656	587	306
657	587	305
658	588	304
659	589	303
660	589	302
661	590	301
662	590	300
663	592	300
664	593	299
665	594	298
666	595	297
667	595	296
668	596	295
669	597	294
670	597	293
671	598	292
672	598	290
673	599	289
674	600	288
675	600	287
676	601	286
677	601	285
678	602	284
679	603	283
680	603	282
681	604	281
682	605	280
683	605	279
684	606	278
685	607	278
686	608	277
687	609	276
688	609	275
689	610	274
690	611	273
691	611	272
692	612	271
693	613	270
694	613	269
695	614	268
696	614	267
697	615	266
698	616	265
699	616	264
700	617	263
701	617	262
702	618	261
703	619	260
704	619	259
705	620	258
706	621	257
707	622	256
708	623	255
709	623	254
710	624	253
711	625	252
712	625	251
713	626	250
714	626	249
715	627	248
716	628	247
717	628	246
718	629	245
719	630	245
720	630	244
721	631	243
722	631	242
723	632	241
724	633	240
725	633	239
726	634	238
727	634	237
728	635	236
729	636	235
730	637	234
731	638	233
732	638	232
733	639	231
734	639	230
735	640	229
736	641	228
737	641	227
738	642	226
739	643	225
740	643	224
741	644	224
742	644	223
743	645	222
744	646	221
745	646	220
746	647	219
747	648	218
748	648	217
749	649	216
750	649	215
751	650	214
752	651	213
753	652	212
754	653	211
755	653	211
756	654	210
757	655	209
758	656	208
759	656	207
760	657	206
761	657	205
762	658	204
763	659	203
764	659	202
765	660	201
766	660	200
767	661	199
768	662	198
769	662	197
770	663	197
771	663	196
772	667	196
773	668	195
774	669	194
775	669	193
776	670	192
777	671	191
778	671	190
779	672	189
780	673	188
781	673	187
782	674	186
783	674	185
784	675	184
785	676	184
786	676	183
787	677	182
788	677	181
789	678	180
790	679	179
791	681	179
792	682	178
793	683	177
794	684	176
795	685	175
796	686	174
797	687	173
798	687	173
799	688	172
800	688	171
801	689	170
802	690	169
803	690	168
804	691	167
805	692	166
806	692	165
807	693	164
808	694	163
809	694	162
810	695	162
811	696	161
812	697	160
813	698	159
814	698	158
815	699	157
816	700	156
817	700	155
818	701	155
819	702	154
820	702	153
821	703	152
822	703	151
823	704	150
824	705	149
825	705	148
826	706	147
827	707	146
828	707	145
829	708	145
830	709	144
831	709	143
832	710	142
833	711	141
834	712	140
835	712	139
836	713	138
837	714	138
838	714	137
839	715	136
840	715	135
841	716	134
842	717	133
843	717	132
844	718	131
845	719	130
846	719	130
847	720	129
848	721	128
849	721	127
850	722	126
851	722	125
852	723	124
853	724	123
854	725	122
855	726	122
856	726	121
857	727	120
858	728	119
859	728	118
860	729	117
861	730	116
862	731	116
863	731	115
864	732	114
865	732	113
866	733	112
867	734	111
868	734	110
869	735	109
870	735	109
871	736	108
872	737	107
873	737	106
874	738	105
875	739	104
876	739	103
877	740	102
878	741	102
879	742	101
880	743	100
881	743	99
882	744	98
883	745	97
884	745	96
885	746	96
886	747	95
887	747	94
888	748	93
889	749	92
890	749	91
891	750	90
892	750	89
893	751	89
894	752	88
895	752	87
896	753	86
897	753	85
898	754	84
899	756	84
900	757	83
901	758	82
902	758	81
903	759	80
904	759	79
905	760	78
906	761	78
907	761	77
908	762	76
909	763	75
910	763	74
911	764	73
912	764	72
913	765	72
914	766	71
915	766	70
916	767	69
917	768	68
918	768	67
919	769	66
920	770	66
921	771	65
922	772	64
923	772	63
924	773	62
925	774	61
926	774	61
927	775	60
928	776	59
929	776	58
930	777	57
931	777	56
932	778	55
933	779	55
934	779	54
935	780	53
936	780	52
937	781	51
938	782	50
939	782	49
940	783	49
941	784	48
942	785	47
943	786	46
944	787	45
945	787	44
946	788	44
947	789	43
948	789	42
949	790	41
950	791	40
951	791	39
952	792	39
953	792	38
954	793	37
955	794	36
956	794	35
957	795	34
958	796	34
959	796	33
960	797	32
961	797	31
962	798	30
963	799	29
964	800	29
965	801	28
966	801	27
967	802	26
968	802	25
969	803	24
970	804	24
971	804	23
972	805	22
973	805	21
974	806	20
975	807	19
976	807	19
977	808	18
978	809	17
979	809	16
980	810	15
981	811	14
982	811	14
983	812	13
984	812	12
985	813	11
986	814	10
987	815	9
988	816	9
989	817	8
990	818	7
991	818	6
992	819	5
993	819	4
994	820	4
995	821	3
996	821	2
997	822	1
998	822	0
999	823	0
